Geographical Name,Generic Term,Latitude,Longitude,Province - Territory
Abbotsford,City,49.052222,-122.329167,British Columbia
Airdrie,City,51.2922222,-114.0141667,Alberta
Armstrong,City,50.448333,-119.196667,British Columbia
Barrie,City,44.37124,-79.67697,Ontario
Bathurst,City,47.626111,-65.628333,New Brunswick
Beaumont,City,53.3525,-113.4152778,Alberta
Belleville,City,44.2566666,-77.3697222,Ontario
Brampton,City,43.6883334,-79.7608333,Ontario
Brandon,City,49.846944,-99.952222,Manitoba
Brantford,City,43.1569444,-80.2575,Ontario
Brockville,City,44.59733,-75.6855,Ontario
Brooks,City,50.567222,-111.895,Alberta
Burlington,City,43.37006,-79.81403,Ontario
Burnaby,City,49.242778,-122.972778,British Columbia
Calgary,City,51.0458333,-114.0574999,Alberta
Cambridge,City,43.397222,-80.311389,Ontario
Campbell River,City,50.023056,-125.243611,British Columbia
Campbellton,City,47.999336,-66.683511,New Brunswick
Camrose,City,53.0247222,-112.8241667,Alberta
Castlegar,City,49.324444,-117.666944,British Columbia
Charlottetown,City,46.240278,-63.134722,Prince Edward Island
Chatham-Kent,City,42.43396,-82.12876,Ontario
Chilliwack,City,49.157778,-121.950833,British Columbia
City of West Kelowna,City,49.83,-119.628611,British Columbia
Clarence-Rockland,City,45.48809,-75.21489,Ontario
Cold Lake,City,54.45,-110.1666667,Alberta
Colwood,City,48.423611,-123.493333,British Columbia
Coquitlam,City,49.284167,-122.793611,British Columbia
Corner Brook,City,48.941111,-57.970278,Newfoundland and Labrador
Cornwall,City,45.0263889,-74.7263889,Ontario
County of Brant,City,43.1391667,-80.2813889,Ontario
Courtenay,City,49.689444,-124.995833,British Columbia
Cranbrook,City,49.508056,-115.746944,British Columbia
Dauphin,City,51.149444,-100.04944,Manitoba
Dawson Creek,City,55.760556,-120.235556,British Columbia
Delta,City,49.084722,-123.058611,British Columbia
Dieppe,City,46.078333,-64.688611,New Brunswick
Dryden,City,49.7833333,-92.7652777,Ontario
Duncan,City,48.778611,-123.708056,British Columbia
Edmonton,City,53.5344445,-113.4902778,Alberta
Edmundston,City,47.377222,-68.294444,New Brunswick
Elliot Lake,City,46.3811111,-82.6572222,Ontario
Enderby,City,50.550556,-119.139444,British Columbia
Estevan,City,49.1392833,-102.9859847,Saskatchewan
Fernie,City,49.504167,-115.062778,British Columbia
Flin Flon,City,54.768056,-101.8641699,Manitoba
Fort Saskatchewan,City,53.7111111,-113.2177778,Alberta
Fort St. John,City,56.2525,-120.846667,British Columbia
Fredericton,City,45.945278,-66.666667,New Brunswick
Grand Forks,City,49.031111,-118.439167,British Columbia
Grand Sudbury,City,46.57789,-81.06958,Ontario
Grande Prairie,City,55.1708334,-118.7961111,Alberta
Greater Sudbury,City,46.57789,-81.06958,Ontario
Greenwood,City,49.088333,-118.676389,British Columbia
Guelph,City,43.53571,-80.229,Ontario
Hamilton,City,43.242778,-79.989444,Ontario
Humboldt,City,52.2019155,-105.1229806,Saskatchewan
Iqaluit,City,63.75,-68.516667,Nunavut
Kamloops,City,50.675833,-120.339444,British Columbia
Kawartha Lakes,City,44.58758,-78.8321,Ontario
Kelowna,City,49.888056,-119.495556,British Columbia
Kenora,City,49.8161111,-94.435,Ontario
Kimberley,City,49.685,-115.981667,British Columbia
Kingston,City,44.3066667,-76.4163888,Ontario
Kitchener,City,43.4186111,-80.4727778,Ontario
Lacombe,City,52.464444,-113.734167,Alberta
Lambton Shores,City,43.17534,-81.89542,Ontario
Langford,City,48.449722,-123.504444,British Columbia
Langley,City,49.1025,-122.658056,British Columbia
Leduc,City,53.2666666,-113.5458333,Alberta
Lethbridge,City,49.6936111,-112.8419444,Alberta
Lloydminster,City,53.2779556,-109.9802528,Saskatchewan
Lloydminster,City,53.2838889,-110,Alberta
London,City,42.9675,-81.2325,Ontario
Maple Ridge,City,49.22,-122.598889,British Columbia
Martensville,City,52.2919249,-106.6524122,Saskatchewan
Meadow Lake,City,54.1241055,-108.4359051,Saskatchewan
Medicine Hat,City,50.0408334,-110.6766667,Alberta
Melfort,City,52.8563361,-104.6099722,Saskatchewan
Melville,City,50.9304306,-102.8078417,Saskatchewan
Merritt,City,50.1125,-120.788333,British Columbia
Miramichi,City,47.004167,-65.466667,New Brunswick
Mississauga,City,43.58566,-79.65711,Ontario
Moncton,City,46.099479,-64.799802,New Brunswick
Moose Jaw,City,50.3934194,-105.5519522,Saskatchewan
Mount Pearl,City,47.5195306,-52.8118056,Newfoundland and Labrador
Nanaimo,City,49.163889,-123.938056,British Columbia
Nelson,City,49.493333,-117.295833,British Columbia
New Westminster,City,49.206667,-122.910556,British Columbia
Niagara Falls,City,43.06012,-79.10671,Ontario
North Battleford,City,52.7574361,-108.2861667,Saskatchewan
North Bay,City,46.314444,-79.459167,Ontario
North Vancouver,City,49.320556,-123.073889,British Columbia
Orillia,City,44.6043,-79.42392,Ontario
Oshawa,City,43.9005555,-78.8572222,Ontario
Ottawa,City,45.33339,-75.58429,Ontario
Owen Sound,City,44.56981,-80.93067,Ontario
Parksville,City,49.318056,-124.311389,British Columbia
Pembroke,City,45.8205556,-77.1111111,Ontario
Penticton,City,49.500833,-119.593889,British Columbia
Peterborough,City,44.3011111,-78.3333334,Ontario
Pitt Meadows,City,49.220556,-122.690278,British Columbia
Port Alberni,City,49.234444,-124.805833,British Columbia
Port Colborne,City,42.9155556,-79.1930555,Ontario
Port Coquitlam,City,49.261944,-122.780278,British Columbia
Port Moody,City,49.282222,-122.829444,British Columbia
Portage la Prairie,City,49.972778,-98.291944,Manitoba
Powell River,City,49.835556,-124.524444,British Columbia
Prince Albert,City,53.199517,-105.760094,Saskatchewan
Prince Edward,City,44.0230555,-77.2558334,Ontario
Prince George,City,53.913056,-122.745278,British Columbia
Prince Rupert,City,54.312778,-130.325278,British Columbia
Quesnel,City,52.979722,-122.493611,British Columbia
Quinte West,City,44.1963888,-77.5819445,Ontario
Red Deer,City,52.2686111,-113.8102778,Alberta
Regina,City,50.4548389,-104.6066083,Saskatchewan
Revelstoke,City,50.998889,-118.195833,British Columbia
Richmond,City,49.163333,-123.163333,British Columbia
Rossland,City,49.076944,-117.802222,British Columbia
