ed_code,name,population
10001,Avalon,87191
10002,Bonavista--Burin--Trinity,71898
10003,Coast of Bays--Central--Notre Dame,74201
10004,Labrador,26655
10005,Long Range Mountains,81716
10006,St. John's East,87345
10007,St. John's South--Mount Pearl,81544
11001,Cardigan,39866
11002,Charlottetown,38809
11003,Egmont,35925
11004,Malpeque,39731
12001,Cape Breton--Canso,71380
12002,Central Nova,73188
12003,Cumberland--Colchester,82014
12004,Dartmouth--Cole Harbour,96165
12005,Halifax,107010
12006,Halifax West,111944
12007,Kings--Hants,87744
12008,Sackville--Preston--Chezzetcook,89524
12009,South Shore--St. Margarets,94482
12010,Sydney--Victoria,72361
12011,West Nova,83571
13001,Acadie--Bathurst,77594
13002,Beauséjour,88797
13003,Fredericton,87436
13004,Fundy Royal,83721
13005,Madawaska--Restigouche,60184
13006,Miramichi--Grand Lake,57520
13007,Moncton--Riverview--Dieppe,101237
13008,New Brunswick Southwest,67781
13009,Saint John--Rothesay,81996
13010,Tobique--Mactaquac,69344
24001,Abitibi--Baie-James--Nunavik--Eeyou,89087
24002,Abitibi--Témiscamingue,103735
24003,Ahuntsic-Cartierville,118170
24004,Alfred-Pellan,102020
24005,Argenteuil--La Petite-Nation,102311
24006,Avignon--La Mitis--Matane--Matapédia,70253
24007,Beauce,111034
24008,Beauport--Limoilou,96064
24009,Bécancour--Nicolet--Saurel,96439
24010,Bellechasse--Les Etchemins--Lévis,120179
24011,Beloeil--Chambly,125359
24012,Berthier--Maskinongé,105280
24013,Thérèse-De Blainville,106013
24014,Pierre-Boucher--Les Patriotes--Verchères,103020
24015,Bourassa,105637
24016,Brome--Missisquoi,113913
24017,Brossard--Saint-Lambert,114286
24018,Rimouski-Neigette--Témiscouata--Les Basques,85556
24019,Charlesbourg--Haute-Saint-Charles,109690
24020,Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix,95736
24021,Châteauguay--Lacolle,105111
24022,Chicoutimi--Le Fjord,80593
24023,Compton--Stanstead,111088
24024,Dorval--Lachine--LaSalle,119395
24025,Drummond,107967
24026,Gaspésie--Les Îles-de-la-Madeleine,75927
24027,Gatineau,107286
24028,Hochelaga,108264
24029,Honoré-Mercier,104578
24030,Hull--Aylmer,110881
24031,Joliette,112418
24032,Jonquière,91073
24033,La Pointe-de-l'Île,110486
24034,La Prairie,114968
24035,Lac-Saint-Jean,103886
24036,Lac-Saint-Louis,110093
24037,LaSalle--Émard--Verdun,107564
24038,Laurentides--Labelle,123796
24039,Laurier--Sainte-Marie,116932
24040,Laval--Les Îles,111784
24041,Longueuil--Charles-LeMoyne,112257
24042,Lévis--Lotbinière,118608
24043,Longueuil--Saint-Hubert,115082
24044,Louis-Hébert,111322
24045,Louis-Saint-Laurent,123123
24046,Manicouagan,88525
24047,Mégantic--L'Érable,88894
24048,Mirabel,132930
24049,Montarville,100515
24050,Montcalm,118746
24051,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,96724
24052,Mount Royal,108494
24053,Notre-Dame-de-Grâce--Westmount,105601
24054,Outremont,103620
24055,Papineau,110813
24056,Pierrefonds--Dollard,109497
24057,Pontiac,129781
24058,Portneuf--Jacques-Cartier,123243
24059,Québec,98772
24060,Repentigny,119204
24061,Richmond--Arthabaska,110651
24062,Rivière-des-Mille-Îles,105589
24063,Rivière-du-Nord,122654
24064,Rosemont--La Petite-Patrie,112909
24065,Marc-Aurèle-Fortin,104636
24066,Saint-Hyacinthe--Bagot,105086
24067,Saint-Jean,114617
24068,Saint-Laurent,102104
24069,Saint-Léonard--Saint-Michel,115553
24070,Saint-Maurice--Champlain,111997
24071,Salaberry--Suroît,119351
24072,Shefford,115924
24073,Sherbrooke,119038
24074,Vaudreuil--Soulanges,129612
24075,Terrebonne,119944
24076,Trois-Rivières,114064
24077,Ville-Marie--Le Sud-Ouest--Île-des-Soeurs,134555
24078,Vimy,119926
35001,Ajax,126666
35002,Algoma--Manitoulin--Kapuskasing,80310
35003,Aurora--Oak Ridges--Richmond Hill,118883
35004,Barrie--Innisfil,120378
35005,Barrie--Springwater--Oro-Medonte,106871
35006,Bay of Quinte,116016
35007,Beaches--East York,109359
35008,Brampton Centre,104557
35009,Brampton East,131677
35010,Brampton North,125141
35011,Brampton South,132752
35012,Brampton West,162353
35013,Brantford--Brant,140139
35014,Bruce--Grey--Owen Sound,113348
35015,Burlington,125435
35016,Cambridge,121301
35017,Chatham-Kent--Leamington,113654
35018,Davenport,105946
35019,Don Valley East,95039
35020,Don Valley North,113663
35021,Don Valley West,101959
35022,Dufferin--Caledon,142838
35023,Durham,150235
35024,Eglinton--Lawrence,115832
35025,Elgin--Middlesex--London,126428
35026,Essex,134656
35027,Etobicoke Centre,118483
35028,Etobicoke--Lakeshore,141751
35029,Etobicoke North,116003
35030,Flamborough--Glanbrook,125692
35031,Glengarry--Prescott--Russell,116463
35032,Guelph,143740
35033,Haldimand--Norfolk,116706
